epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,339.6865539550781,tensor(0.0693),352.5436096191406,0.34375
1,339.2982482910156,tensor(0.0645),344.6245422363281,0.40625
2,342.19488525390625,tensor(0.0703),348.59820556640625,0.46484375
3,340.85479736328125,tensor(0.0713),344.68798828125,0.48828125
4,343.6671447753906,tensor(0.0869),347.78955078125,0.51171875
5,339.3374938964844,tensor(0.0840),351.4214782714844,0.5546875
6,342.4219055175781,tensor(0.0859),345.03857421875,0.60546875
7,343.31671142578125,tensor(0.0918),353.5496520996094,0.6484375
8,339.9823303222656,tensor(0.0957),349.5753173828125,0.66015625
9,342.5038757324219,tensor(0.1025),351.25726318359375,0.6953125
