epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,327.32666015625,0.5,350.1636657714844,0.6000000000000001
1,318.0340576171875,0.425,339.2164611816406,0.6
2,319.94171142578125,0.5,317.8702087402344,0.5
3,318.4452209472656,0.52500004,323.8187255859375,0.55
4,327.4779052734375,0.52500004,315.5403747558594,0.5
5,324.53436279296875,0.575,327.47900390625,0.6
6,328.1108093261719,0.65,313.50030517578125,0.5
7,322.3818664550781,0.55,330.0743713378906,0.6
8,321.593017578125,0.625,330.3397521972656,0.6499999999999999
9,329.50433349609375,0.8,325.4413146972656,0.6
