epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,332.4684753417969,0.5,tensor(1.5065),348.99542236328125,0.3333333333333333,tensor(1.0743)
1,317.1889953613281,0.5,tensor(1.2691),353.5219421386719,0.16666666666666666,tensor(1.1796)
2,330.513916015625,0.25,tensor(1.2855),342.0920715332031,0.3333333333333333,tensor(1.0665)
3,329.1237487792969,0.25,tensor(1.2375),373.00396728515625,0.25,tensor(1.1247)
4,319.8380126953125,0.0,tensor(1.2680),343.5038757324219,0.25,tensor(1.2188)
5,322.9126281738281,0.25,tensor(1.3306),345.3078308105469,0.16666666666666666,tensor(1.0706)
6,328.1690673828125,0.0,tensor(1.3603),334.73321533203125,0.3333333333333333,tensor(1.0658)
7,320.42755126953125,0.0,tensor(1.2963),355.2322998046875,0.3333333333333333,tensor(1.4337)
8,326.33843994140625,0.75,tensor(1.3216),356.06964111328125,0.3333333333333333,tensor(1.3097)
9,322.51422119140625,0.25,tensor(1.3151),381.8184814453125,0.3333333333333333,tensor(1.1185)
