epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,353.490966796875,0.45000002,tensor(1.0493),360.6236267089844,0.5,tensor(0.9286)
1,344.777099609375,0.6,tensor(1.0011),335.8297424316406,0.5,tensor(0.8214)
2,350.58251953125,0.7,tensor(1.3010),360.9748229980469,0.75,tensor(0.8333)
3,332.4812316894531,0.8,tensor(0.9878),382.11151123046875,0.75,tensor(0.8690)
4,330.5323791503906,0.75,tensor(0.9333),373.007568359375,0.5,tensor(0.9167)
