epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,311.2159729003906,0.5,tensor(1.0100),321.2025451660156,0.5,tensor(0.8095)
1,318.78826904296875,0.5,tensor(1.0045),348.1871337890625,0.5,tensor(0.8810)
2,317.8748779296875,0.5,tensor(1.0547),364.5600280761719,0.5,tensor(0.9048)
3,323.9259338378906,0.5,tensor(1.0979),389.17718505859375,0.5,tensor(0.8452)
4,335.7655029296875,0.5,tensor(1.0737),336.41143798828125,0.5,tensor(0.8571)
