epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,340.04522705078125,0.125,358.3890380859375,0.5
1,330.6923828125,0.125,331.3190612792969,0.5
2,332.53460693359375,0.1,352.6707458496094,0.55
3,339.422607421875,0.175,342.1994934082031,0.6
4,345.7240905761719,0.125,334.9007568359375,0.6
5,332.6551818847656,0.15,347.53546142578125,0.6499999999999999
6,337.58203125,0.2,362.2498474121094,0.6499999999999999
7,343.8529052734375,0.125,373.6502380371094,0.6
8,344.59307861328125,0.175,364.23565673828125,0.55
9,345.37103271484375,0.175,341.7562561035156,0.6
