epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,332.99981689453125,0.5,tensor(1.5281),348.7136535644531,0.25,tensor(1.1010)
1,319.9375,0.5,tensor(1.2761),347.75634765625,0.3333333333333333,tensor(1.0709)
2,330.5521545410156,0.25,tensor(1.2347),348.64263916015625,0.25,tensor(1.0882)
3,329.0162048339844,0.25,tensor(1.2548),374.08062744140625,0.3333333333333333,tensor(1.1356)
4,320.6205139160156,0.0,tensor(1.2423),336.29974365234375,0.16666666666666666,tensor(1.1720)
5,323.70458984375,0.0,tensor(1.3291),341.6203308105469,0.3333333333333333,tensor(1.0646)
6,335.5976867675781,0.25,tensor(1.3101),345.83282470703125,0.3333333333333333,tensor(1.1473)
7,329.945556640625,0.25,tensor(1.2677),367.12841796875,0.3333333333333333,tensor(1.3974)
8,328.5966491699219,0.5,tensor(1.2975),341.10833740234375,0.3333333333333333,tensor(1.0536)
9,321.0268249511719,0.25,tensor(1.3356),371.08953857421875,0.3333333333333333,tensor(1.1303)
