epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,315.01531982421875,0.35000002,tensor(0.9940),320.68255615234375,0.30000000000000004,tensor(0.9247)
1,324.66009521484375,0.55,tensor(0.9718),331.92730712890625,0.55,tensor(0.9304)
2,319.47698974609375,0.35000002,tensor(1.0291),339.13360595703125,0.45,tensor(0.9602)
3,326.1524963378906,0.5,tensor(0.9147),328.11761474609375,0.55,tensor(0.9627)
4,332.7693786621094,0.55,tensor(0.9363),328.97113037109375,0.6,tensor(1.0146)
