epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,333.5687255859375,0.3125,tensor(1.4814),328.38824462890625,0.38461538461538464,tensor(1.2050)
1,325.85406494140625,0.25,tensor(1.3050),325.7098388671875,0.40384615384615385,tensor(1.2238)
2,321.5341491699219,0.375,tensor(1.3045),328.2725524902344,0.34615384615384615,tensor(1.2684)
3,333.1624755859375,0.3125,tensor(1.2775),325.5291442871094,0.4423076923076923,tensor(1.2096)
4,326.9443054199219,0.3125,tensor(1.3590),326.6424255371094,0.5,tensor(1.1854)
5,330.6333312988281,0.25,tensor(1.3370),323.4764709472656,0.46153846153846156,tensor(1.1474)
6,325.94805908203125,0.375,tensor(1.3422),324.75030517578125,0.5384615384615384,tensor(1.2075)
7,326.0046081542969,0.4375,tensor(1.7559),330.49786376953125,0.5192307692307693,tensor(1.2541)
8,322.2844543457031,0.5,tensor(1.3209),325.07061767578125,0.5384615384615384,tensor(1.3062)
9,328.8074951171875,0.5,tensor(1.3337),319.55584716796875,0.46153846153846156,tensor(1.2398)
