epoch,generator and encoder train loss,discriminator train loss,generator and encoder val loss,discriminator val loss
0,4.386977150470396,2.0100066512823105,4.28505277633667,0.10339723
1,4.471892112418066,1.3463194519281387,4.508953630924225,0.074559644
2,4.6550806624979915,0.9546850472688675,4.825741022825241,0.04690373
3,4.833230809320377,0.7568879425525665,4.961287826299667,0.04724588
4,4.683185088483593,0.6358415260910988,4.823075741529465,0.02604918
5,4.571771356123913,0.6006136760115623,4.659247487783432,0.03331654
6,4.556732745110234,0.566621046513319,4.869211137294769,0.02957027
7,4.482804431190973,0.521521458402276,4.2984479367733,0.025448442
8,4.511062507387958,0.4917370192706585,4.3570747673511505,0.03181424
9,4.522925588149059,0.49157109670341015,4.507938265800476,0.024525419
10,4.563033001332343,0.44763908348977566,4.5271748304367065,0.027385022
11,4.617005384421047,0.43783457577228546,4.7813432812690735,0.024161916
12,4.562643763385242,0.44876641035079956,4.725276380777359,0.03051262
13,4.524197750453707,0.478835029527545,4.725523203611374,0.022868313
14,4.5778809982010085,0.45357889123260975,4.519927829504013,0.02110079
15,4.653852402409421,0.4041587095707655,4.7682256400585175,0.02370999
16,4.5487109618850905,0.43056502006947994,4.150228828191757,0.022115102
17,4.583946698828589,0.4074927493929863,4.791133224964142,0.013375068
18,4.674543459204179,0.364049831405282,4.698541611433029,0.024405453
19,4.712622467475601,0.36258362978696823,4.8147552609443665,0.014436132
20,4.715323025667215,0.34134371392428875,4.835926324129105,0.029218357
21,4.983891577660283,0.27115576807409525,5.022067010402679,0.017346608
22,5.0740014088304735,0.25328774470835924,5.413356930017471,0.01261683
23,5.1842692109602915,0.22114333603531122,5.619323492050171,0.014551201
24,5.174623477308056,0.2396385408937931,5.402585387229919,0.018331248
25,5.2423647868482375,0.20872250758111477,5.183482140302658,0.007838368
26,5.359976521021204,0.2005062997341156,5.496049493551254,0.026327707
27,5.4286902705325355,0.18592547439038754,5.383734047412872,0.0064734407
28,5.642151699790472,0.17052059434354305,5.879904359579086,0.005861867
29,5.643514814256113,0.17712821811437607,5.92056480050087,0.0040552327
30,5.74086298520052,0.16556566953659058,6.2365807592868805,0.0046618995
31,5.766640524320964,0.16143736336380243,6.312274366617203,0.004358565
32,5.716420415081555,0.16165913827717304,6.062678039073944,0.0029406291
33,5.922098075287251,0.15257281064987183,6.2581939697265625,0.004479567
34,5.839034871210026,0.153984684497118,5.608250796794891,0.0032036102
35,5.919557402405558,0.14986398024484515,5.867684960365295,0.008494542
36,6.095787929583199,0.14221843192353845,6.162203878164291,0.0061852615
37,5.89123634748821,0.1431870013475418,6.040606617927551,0.0045872424
38,5.845680780048612,0.16263811569660902,6.164269953966141,0.0031134645
39,5.767750896985018,0.15739668626338243,5.655981510877609,0.004954591
40,5.804653644561768,0.15746586304157972,5.9380433559417725,0.0060984204
41,5.705841680116292,0.15955242421478033,5.577054500579834,0.007326629
42,5.5882789696319195,0.15883258637040854,5.834858626127243,0.0039896504
43,5.937755862368813,0.1596905905753374,6.317375183105469,0.007907678
44,6.090290467950362,0.1469369395636022,5.742269814014435,0.0047405926
45,6.103975416738776,0.1523445495404303,6.1603812873363495,0.0035545896
46,5.9522150136247465,0.15676831360906363,6.035246193408966,0.00402693
47,5.678713345829444,0.1562188332900405,5.832968205213547,0.0027437618
48,6.009196166750751,0.1415099799633026,6.168343394994736,0.0029880307
49,5.981805988504917,0.14839428244158626,5.905657947063446,0.0032143847
