epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,334.23272705078125,0.12890625,336.0229187011719,0.25
1,334.0853271484375,0.1171875,351.6417236328125,0.328125
2,326.4162902832031,0.1328125,338.0830993652344,0.328125
3,326.99493408203125,0.15234375,329.1672668457031,0.375
4,332.9305419921875,0.15234375,340.9100341796875,0.375
5,329.1462707519531,0.14453125,328.02734375,0.359375
6,335.576416015625,0.1484375,334.5990905761719,0.390625
7,333.4285583496094,0.1640625,333.5281066894531,0.453125
8,331.9124450683594,0.15625,345.30816650390625,0.390625
9,330.1473693847656,0.16796875,323.969482421875,0.421875
