epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,333.3533630371094,0.3125,tensor(1.4718),331.3489074707031,0.38461538461538464,tensor(1.2089)
1,324.4934387207031,0.25,tensor(1.3100),326.6370544433594,0.40384615384615385,tensor(1.2360)
2,321.7345886230469,0.375,tensor(1.3104),330.6098937988281,0.34615384615384615,tensor(1.2110)
3,330.0196228027344,0.3125,tensor(1.2449),323.0614929199219,0.40384615384615385,tensor(1.1623)
4,328.6611022949219,0.375,tensor(1.3610),319.9782409667969,0.4423076923076923,tensor(1.1755)
5,325.6758117675781,0.3125,tensor(1.3950),329.349853515625,0.46153846153846156,tensor(1.1383)
6,328.4751892089844,0.375,tensor(1.3307),324.6058654785156,0.5961538461538461,tensor(1.1430)
7,330.69378662109375,0.4375,tensor(1.6310),329.96331787109375,0.5,tensor(1.2038)
8,339.0278625488281,0.5625,tensor(1.2101),342.2166748046875,0.4807692307692308,tensor(1.2712)
9,341.0675354003906,0.5,tensor(1.3252),332.6714172363281,0.5576923076923077,tensor(1.1980)
