epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,437.34442138671875,tensor(0.4141),452.9335632324219,0.34375
1,447.78204345703125,tensor(0.5703),472.3376770019531,0.390625
2,434.6394348144531,tensor(0.5625),463.2122497558594,0.5625
3,436.03790283203125,tensor(0.6914),456.5101013183594,0.5625
4,428.5531311035156,tensor(0.7461),436.5760192871094,0.609375
5,435.5938720703125,tensor(0.7500),434.9864807128906,0.59375
6,432.44073486328125,tensor(0.7695),453.99298095703125,0.609375
7,436.57525634765625,tensor(0.7773),450.44781494140625,0.625
8,439.3618469238281,tensor(0.7773),436.66046142578125,0.625
9,437.49664306640625,tensor(0.7773),447.1327209472656,0.625
