epoch,generator and encoder train loss,discriminator train loss,generator and encoder val loss,discriminator val loss
0,9.658851385116577,2.516316533088684,9.595787525177002,1.1385496
1,8.764700174331665,1.8562017977237701,8.982131004333496,0.84038067
2,8.432652473449707,1.9447055459022522,8.337554454803467,0.6719493
3,8.35204267501831,1.5889807343482971,8.717094898223877,0.89943767
4,8.578524112701416,1.3550028651952744,8.568381309509277,0.570683
5,8.409372568130493,1.361715853214264,8.578764915466309,0.6634322
6,8.557424068450928,1.2940073907375336,8.322431087493896,0.7249025
7,8.392405033111572,1.2426070272922516,8.650866508483887,0.58909637
8,8.504552125930786,1.1251937299966812,8.342657566070557,0.4841625
9,8.50314998626709,0.9811887890100479,8.635855674743652,0.3935098
