epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,333.431640625,0.3125,tensor(1.5109),330.7960205078125,0.38461538461538464,tensor(1.2052)
1,328.1388244628906,0.25,tensor(1.3118),327.0447082519531,0.38461538461538464,tensor(1.1833)
2,322.3646240234375,0.375,tensor(1.3274),323.3544921875,0.3269230769230769,tensor(1.1988)
3,326.8685302734375,0.25,tensor(1.2657),321.3411560058594,0.38461538461538464,tensor(1.2514)
4,327.87713623046875,0.3125,tensor(1.4128),319.77117919921875,0.4423076923076923,tensor(1.2021)
5,327.520263671875,0.1875,tensor(1.3824),319.7153625488281,0.4807692307692308,tensor(1.1190)
6,322.05401611328125,0.3125,tensor(1.3341),326.80218505859375,0.5,tensor(1.1778)
7,331.5772705078125,0.25,tensor(1.7424),331.5362243652344,0.5384615384615384,tensor(1.2407)
8,321.5624084472656,0.5,tensor(1.3273),325.28564453125,0.46153846153846156,tensor(1.2635)
9,326.77752685546875,0.5625,tensor(1.3525),325.53271484375,0.5,tensor(1.2194)
