epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,345.5035705566406,0.125,359.951416015625,0.5
1,352.8554992675781,0.15,351.7385559082031,0.55
2,335.9480895996094,0.15,355.26898193359375,0.45
3,336.0920104980469,0.125,360.5533142089844,0.6
4,360.0458679199219,0.125,358.0230407714844,0.55
5,373.5096740722656,0.15,356.37542724609375,0.65
6,347.8428649902344,0.1,359.6534118652344,0.55
7,348.0449523925781,0.1,343.10302734375,0.6499999999999999
8,346.18621826171875,0.1,372.0549621582031,0.75
9,352.03997802734375,0.15,377.73291015625,0.6
