epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,333.095458984375,0.3125,tensor(1.5264),331.8473815917969,0.36538461538461536,tensor(1.2280)
1,327.746826171875,0.25,tensor(1.3082),328.1412658691406,0.38461538461538464,tensor(1.1977)
2,316.7887268066406,0.375,tensor(1.3415),327.3182067871094,0.36538461538461536,tensor(1.1903)
3,327.3921203613281,0.3125,tensor(1.3097),325.6965026855469,0.4423076923076923,tensor(1.2268)
4,332.8195495605469,0.375,tensor(1.3918),333.6641540527344,0.4230769230769231,tensor(1.3668)
5,331.4696044921875,0.25,tensor(1.4510),320.4643859863281,0.5,tensor(1.2701)
6,326.7430114746094,0.375,tensor(1.5311),318.4797668457031,0.5384615384615384,tensor(1.2801)
7,324.10125732421875,0.4375,tensor(1.8249),325.97296142578125,0.5384615384615384,tensor(1.4039)
8,326.3174743652344,0.5,tensor(1.4338),320.9510192871094,0.4807692307692308,tensor(1.3731)
9,328.21954345703125,0.4375,tensor(1.4915),337.6258544921875,0.5,tensor(1.2890)
