epoch,generator and encoder train loss,discriminator train loss,generator and encoder val loss,discriminator val loss
0,7.627958059310913,3.4348843693733215,7.683840751647949,2.8016772
1,7.732543110847473,2.5906280279159546,7.554705619812012,1.7781336
2,7.778478503227234,1.910784900188446,7.842155933380127,1.5166482
3,7.361052870750427,1.600614845752716,6.186492443084717,1.6034262
4,5.18023955821991,1.3209201842546463,4.037751197814941,1.2808971
5,3.281103789806366,1.349863350391388,3.4406704902648926,1.0124896
6,3.024125337600708,1.2862558662891388,3.1504311561584473,0.95159745
7,3.0789868235588074,1.1202150881290436,3.2314438819885254,1.0241871
8,3.1395265460014343,1.025269776582718,3.3229012489318848,0.874352
9,3.0804428458213806,0.9849409610033035,3.2184882164001465,0.92485386
