epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,338.49444580078125,0.390625,349.0301513671875,0.34375
1,347.50384521484375,0.4296875,354.0386047363281,0.40625
2,348.5308532714844,0.48828125,344.8209228515625,0.390625
3,345.8450927734375,0.51171875,356.60870361328125,0.4375
4,350.63482666015625,0.6015625,355.3058776855469,0.453125
5,356.29705810546875,0.58984375,363.1017761230469,0.5
6,352.3981018066406,0.6484375,351.71405029296875,0.484375
7,347.9828186035156,0.64453125,360.9103698730469,0.546875
8,360.60467529296875,0.67578125,356.27886962890625,0.546875
9,349.2382507324219,0.6640625,357.6128234863281,0.515625
