epoch,generator and encoder train loss,discriminator train loss,generator and encoder val loss,discriminator val loss
0,4.408807112620427,3.2876110076904297,4.248929103215535,1.283798098564148
1,4.056956401238074,2.5954856872558594,3.8529422283172607,1.1704365015029907
2,4.055501809486976,1.9958722591400146,3.3309481938680015,1.1638741890589397
3,4.282228469848633,1.693555235862732,3.517698287963867,1.0700116157531738
4,4.404913553824792,2.1471972465515137,3.8065012296040854,0.9495201110839844
5,4.118609483425434,2.0156702995300293,3.1907779375712075,1.029438277085622
6,3.9355524686666636,1.8753632307052612,3.526132424672445,1.0592730045318604
7,3.838976053091196,1.8226813077926636,4.388980706532796,0.856483260790507
8,4.224874331400945,1.5793060064315796,3.235724131266276,1.057005524635315
9,4.034330239662757,1.967545509338379,3.524264335632324,1.126619537671407
