epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,333.8854675292969,0.3125,tensor(1.5304),331.0142822265625,0.38461538461538464,tensor(1.2430)
1,328.7630310058594,0.25,tensor(1.3317),327.1800231933594,0.36538461538461536,tensor(1.2125)
2,320.7202453613281,0.3125,tensor(1.3233),323.2562561035156,0.38461538461538464,tensor(1.1984)
3,332.94390869140625,0.3125,tensor(1.2397),329.7520751953125,0.36538461538461536,tensor(1.2093)
4,335.40673828125,0.375,tensor(1.3654),319.1744384765625,0.46153846153846156,tensor(1.1918)
5,326.68548583984375,0.25,tensor(1.4204),324.4719543457031,0.4807692307692308,tensor(1.0957)
6,321.4068908691406,0.3125,tensor(1.3193),331.8383483886719,0.5192307692307693,tensor(1.1406)
7,322.454345703125,0.375,tensor(1.6005),341.9822998046875,0.5192307692307693,tensor(1.2394)
8,332.94512939453125,0.375,tensor(1.3395),346.0751037597656,0.46153846153846156,tensor(1.2638)
9,337.18798828125,0.5625,tensor(1.3442),339.05926513671875,0.5,tensor(1.2514)
