epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,347.032958984375,0.52500004,367.0450134277344,0.35
1,345.27142333984375,0.6,353.76251220703125,0.6
2,360.642578125,0.52500004,382.2819519042969,0.5
3,370.7320556640625,0.575,372.0144958496094,0.6499999999999999
4,360.8616943359375,0.725,376.3419189453125,0.55
5,365.3231201171875,0.75,379.63836669921875,0.55
6,352.09600830078125,0.725,365.80487060546875,0.6
7,372.96844482421875,0.675,367.1217956542969,0.6499999999999999
8,364.8990783691406,0.72499996,383.5523986816406,0.8500000000000001
9,352.8315124511719,0.825,375.0080871582031,0.75
