epoch,generator and encoder train loss,discriminator train loss,generator and encoder val loss,discriminator val loss
0,2.2553389072418213,5.566976070404053,2.282801628112793,2.4882905
1,2.8509693145751953,4.914282560348511,2.7875874042510986,2.1946373
2,2.598363757133484,4.147672414779663,2.757255792617798,1.7844682
3,2.717311978340149,3.7544519901275635,2.705504298210144,1.5121106
4,2.1576879024505615,3.3090529441833496,2.99747896194458,1.3290519
5,3.0372315645217896,2.776029944419861,2.6447458267211914,1.073796
6,3.044827461242676,2.387911796569824,2.711937129497528,1.106367
7,2.9597960710525513,2.001682162284851,2.999353528022766,0.82043034
8,3.4314379692077637,2.090327024459839,3.275649666786194,1.0116802
9,3.087584137916565,1.5387036800384521,3.2683550119400024,0.712818
