epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,313.183837890625,0.5,tensor(0.9547),304.2711181640625,0.55,tensor(1.0049)
1,325.0984191894531,0.6,tensor(0.9720),307.62396240234375,0.65,tensor(1.0217)
2,298.30645751953125,0.65,tensor(0.9631),298.5782775878906,0.6499999999999999,tensor(0.9650)
3,309.31060791015625,0.55,tensor(1.0562),332.7398376464844,0.6000000000000001,tensor(0.9111)
4,303.3760070800781,0.65,tensor(1.0217),317.3689270019531,0.55,tensor(0.8866)
