epoch,generator and encoder train loss,discriminator train loss,generator and encoder val loss,discriminator val loss
0,11.17781114578247,2.5868077278137207,10.810789108276367,1.7250115
1,8.422516584396362,0.9700923562049866,8.484221458435059,1.0209352
2,8.185609579086304,0.5330102443695068,8.21380090713501,0.75858784
3,8.517259359359741,0.4783712327480316,8.438251495361328,0.7888307
4,7.850091934204102,0.48393887281417847,7.793395519256592,0.96056414
5,9.626805305480957,0.5098363161087036,9.800972938537598,0.82562715
6,7.841938495635986,0.4892290532588959,7.7859156131744385,0.9473507
7,9.894970655441284,0.4385504722595215,9.943965435028076,0.72676224
8,7.797128438949585,0.38306811451911926,8.136805534362793,0.81158483
9,10.005017280578613,0.34263259172439575,10.120469570159912,0.9064256
