epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,314.5049743652344,0.125,335.5608825683594,0.3125
1,326.25079345703125,0.13671875,331.91558837890625,0.40625
2,323.722412109375,0.1640625,332.9352111816406,0.34375
3,327.29095458984375,0.15625,331.2898254394531,0.359375
4,321.8453369140625,0.1640625,338.9192199707031,0.390625
5,325.8070373535156,0.1640625,329.7801818847656,0.453125
6,317.99957275390625,0.1796875,352.4053649902344,0.40625
7,324.6393127441406,0.1953125,344.0452575683594,0.515625
8,326.6427001953125,0.1875,325.8493347167969,0.484375
9,326.6590270996094,0.21484375,336.3839111328125,0.46875
