epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,334.29443359375,tensor(0.1289),336.499267578125,0.25
1,334.4301452636719,tensor(0.1172),350.8996887207031,0.328125
2,326.5700378417969,tensor(0.1328),338.557861328125,0.328125
3,327.9727783203125,tensor(0.1484),329.41595458984375,0.375
4,332.8906555175781,tensor(0.1562),340.65423583984375,0.375
5,329.5926818847656,tensor(0.1406),327.7558898925781,0.40625
6,335.0767517089844,tensor(0.1523),333.5329895019531,0.40625
7,332.2858581542969,tensor(0.1602),331.9140319824219,0.453125
8,332.3329772949219,tensor(0.1562),346.068359375,0.390625
9,329.532958984375,tensor(0.1758),324.5198974609375,0.40625
