epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,349.0785217285156,0.40234375,371.58258056640625,0.34375
1,346.12420654296875,0.4140625,362.3248596191406,0.296875
2,354.25457763671875,0.40234375,350.7022705078125,0.375
3,358.25250244140625,0.41015625,354.3076477050781,0.34375
4,354.8036193847656,0.47265625,365.6040954589844,0.4375
5,358.5787353515625,0.47265625,364.3685607910156,0.5
6,351.5804443359375,0.51953125,365.8257751464844,0.53125
7,359.0535888671875,0.5703125,353.9320068359375,0.5
8,352.4952087402344,0.61328125,360.8492126464844,0.515625
9,358.3204345703125,0.58984375,362.6806335449219,0.515625
