epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,350.37652587890625,0.42307693,tensor(1.4856),369.0196838378906,0.4166666666666667,tensor(1.0168)
1,343.1371765136719,0.4423077,tensor(1.1371),364.90667724609375,0.5833333333333334,tensor(1.3667)
2,346.64892578125,0.7115385,tensor(1.1889),357.6358642578125,0.5833333333333334,tensor(0.9562)
3,346.937744140625,0.7307693,tensor(1.2648),381.28961181640625,0.5833333333333334,tensor(1.0390)
4,352.3214111328125,0.7692308,tensor(1.1684),382.2173156738281,0.75,tensor(0.9703)
5,342.8787841796875,0.78846157,tensor(1.2694),355.2825012207031,0.75,tensor(0.9791)
6,348.2264404296875,0.9038462,tensor(1.1521),353.34967041015625,0.8333333333333334,tensor(0.9783)
7,347.25732421875,0.9038462,tensor(1.1504),364.24517822265625,0.8333333333333334,tensor(1.1227)
8,351.33563232421875,0.9423077,tensor(1.1351),371.89166259765625,0.8333333333333334,tensor(1.0754)
9,350.6305847167969,0.9423077,tensor(1.1198),354.7779235839844,0.8333333333333334,tensor(0.9649)
