epoch,generator and encoder train loss,discriminator train loss,generator and encoder val loss,discriminator val loss
0,9.918588638305664,5.580265045166016,14.39459228515625,4.6606426
1,7.320240497589111,5.464498996734619,15.453200340270996,4.699492
2,5.239888668060303,4.9819817543029785,15.239581108093262,4.8706717
3,8.652873992919922,4.67172384262085,16.02125358581543,4.5283966
4,1.5073245763778687,4.180056571960449,15.495826721191406,3.6155982
5,4.007084846496582,4.226131439208984,13.37389087677002,3.628929
6,8.165492057800293,4.394347667694092,15.742830276489258,3.4592383
7,8.883539199829102,3.2995505332946777,15.198041915893555,3.0997758
8,15.424158096313477,3.64677357673645,15.0469970703125,2.994537
9,11.121745109558105,3.627047061920166,15.270090103149414,2.430174
10,3.7906408309936523,3.066126823425293,15.630963325500488,2.5123072
11,2.317986488342285,2.6453096866607666,14.554691314697266,2.108647
12,10.109224319458008,2.4965450763702393,16.553089141845703,2.169733
13,6.818768501281738,2.3574132919311523,14.75030517578125,2.0476475
14,6.5802412033081055,2.2873175144195557,14.76654052734375,1.5580511
15,2.68939471244812,1.756030559539795,15.303386688232422,2.1496818
16,8.489943504333496,2.1681599617004395,12.33163833618164,1.3773215
17,5.038389205932617,1.5040009021759033,17.791099548339844,2.1563601
18,8.492879867553711,1.6059117317199707,15.77795696258545,2.0725913
19,8.326074600219727,1.400707721710205,14.941344261169434,1.219003
20,9.259772300720215,1.185920238494873,16.998737335205078,1.4115417
21,7.11965274810791,1.0845019817352295,16.61868667602539,1.4046639
22,5.129763603210449,0.8460276126861572,16.61414337158203,1.2125776
23,2.501235008239746,0.7816029787063599,16.1248836517334,1.379641
24,12.178308486938477,0.8341305255889893,14.126110076904297,1.384239
25,10.820552825927734,1.0350216627120972,16.077194213867188,1.3807126
26,11.025364875793457,0.9413409233093262,16.627098083496094,1.3368198
27,7.47721004486084,0.9563746452331543,16.718671798706055,1.4255328
28,4.352041244506836,0.6625605225563049,17.799524307250977,1.3711246
29,3.851754903793335,0.5865072011947632,16.44740104675293,1.1288365
30,9.760673522949219,0.5813668370246887,15.35039234161377,1.3992653
31,11.456154823303223,0.8659201264381409,17.578950881958008,1.3097737
32,5.6869306564331055,0.497913658618927,16.868947982788086,1.2204509
33,9.801599502563477,0.5158259868621826,16.579435348510742,1.3505474
34,8.448753356933594,0.43147844076156616,17.00432586669922,1.213219
35,5.017359256744385,0.5477796196937561,17.18058204650879,1.403404
36,9.132818222045898,0.5734511017799377,17.463336944580078,1.3339795
37,6.621368408203125,0.6457263827323914,18.003704071044922,1.378625
38,9.875295639038086,0.5860944986343384,16.482746124267578,1.3988786
39,11.035599708557129,0.3957628607749939,14.849203109741211,1.4235623
40,6.261128902435303,0.4224931001663208,16.93375015258789,1.3939056
41,5.417294502258301,0.3971003592014313,17.784605026245117,1.343411
42,6.921596527099609,0.4455036520957947,15.727411270141602,1.4060643
43,7.476690292358398,0.4428024888038635,17.970561981201172,1.4105749
44,9.695602416992188,0.30661648511886597,17.62439727783203,1.3609655
45,5.87878942489624,0.33998310565948486,16.734256744384766,1.4482641
46,11.852208137512207,0.32667937874794006,14.040549278259277,1.3336642
47,8.157256126403809,0.2582858204841614,16.336095809936523,1.2197999
48,7.059605598449707,0.2480688989162445,17.153488159179688,1.3081045
49,4.637796878814697,0.25535303354263306,15.171897888183594,1.3682957
